CO,PM10,PM25,시정(10m),7day_Avg_PM10,Rain_Value_가벼운 비,Rain_Value_보통의 비,Rain_Value_비가 오지않음,Rain_Value_심한 비
0.5,24.0,14.0,2000,24.0,0,0,1,0
0.6,25.0,14.0,2000,24.5,0,0,1,0
0.6,27.0,16.0,2000,25.333333333333332,0,0,1,0
0.6,23.0,13.0,2000,24.75,0,0,1,0
0.6,24.0,14.0,2000,24.6,0,0,1,0
0.7,26.0,16.0,2000,24.833333333333332,0,0,1,0
0.7,27.0,18.0,2000,25.142857142857142,0,0,1,0
0.8,30.0,18.0,2000,26.0,0,0,1,0
0.8,33.0,19.0,2000,27.142857142857142,0,0,1,0
0.9,35.0,19.0,2000,28.285714285714285,0,0,1,0
0.8,44.0,27.0,2000,31.285714285714285,0,0,1,0
0.7,42.0,26.0,2000,33.857142857142854,0,0,1,0
0.5,36.0,20.0,2000,35.285714285714285,0,0,1,0
0.5,29.0,15.0,2000,35.57142857142857,0,0,1,0
0.4,30.0,18.0,2000,35.57142857142857,0,0,1,0
0.4,33.0,19.0,2000,35.57142857142857,0,0,1,0
0.4,26.0,16.0,2000,34.285714285714285,0,0,1,0
0.5,28.0,16.0,2000,32.0,0,0,1,0
0.5,27.0,18.0,2000,29.857142857142858,0,0,1,0
0.5,27.0,17.0,2000,28.571428571428573,0,0,1,0
0.5,27.0,15.0,2000,28.285714285714285,0,0,1,0
0.5,26.0,14.0,2000,27.714285714285715,0,0,1,0
0.5,28.0,16.0,2000,27.0,0,0,1,0
0.5,34.0,19.0,2000,28.142857142857142,0,0,1,0
0.4,32.0,15.0,2000,28.714285714285715,0,0,1,0
0.4,25.0,9.0,2000,28.428571428571427,0,0,1,0
0.4,29.0,12.0,2000,28.714285714285715,0,0,1,0
0.4,24.0,13.0,2000,28.285714285714285,0,0,1,0
0.4,20.0,8.0,2000,27.428571428571427,0,0,1,0
0.4,19.0,7.0,2000,26.142857142857142,0,0,1,0
0.5,21.0,8.0,2000,24.285714285714285,0,0,1,0
0.4,19.0,9.0,2000,22.428571428571427,0,0,1,0
0.5,21.0,8.0,2000,21.857142857142858,0,0,1,0
0.4,18.0,6.0,2000,20.285714285714285,0,0,1,0
0.4,25.0,12.0,2000,20.428571428571427,0,0,1,0
0.4,22.0,12.0,2000,20.714285714285715,0,0,1,0
0.4,25.0,13.0,2000,21.571428571428573,0,0,1,0
0.4,29.0,12.0,2000,22.714285714285715,0,0,1,0
0.4,43.0,18.0,2000,26.142857142857142,0,0,1,0
0.4,44.0,16.0,2000,29.428571428571427,0,0,1,0
0.4,48.0,12.0,2000,33.714285714285715,0,0,1,0
0.4,57.0,17.0,2000,38.285714285714285,0,0,1,0
0.5,57.0,16.0,2000,43.285714285714285,0,0,1,0
0.5,48.0,15.0,2000,46.57142857142857,0,0,1,0
0.4,55.0,14.0,2000,50.285714285714285,0,0,1,0
0.4,62.0,12.0,2000,53.0,0,0,1,0
0.4,65.0,14.0,2000,56.0,0,0,1,0
0.4,65.0,13.0,2000,58.42857142857143,0,0,1,0
0.4,66.0,14.0,2000,59.714285714285715,0,0,1,0
0.4,52.0,12.0,2000,59.0,0,0,1,0
0.4,48.0,13.0,2000,59.0,0,0,1,0
0.4,46.0,13.0,2000,57.714285714285715,0,0,1,0
0.4,48.0,12.0,2000,55.714285714285715,0,0,1,0
0.4,49.0,12.0,2000,53.42857142857143,0,0,1,0
0.5,47.0,14.0,2000,50.857142857142854,0,0,1,0
0.5,47.0,13.0,2000,48.142857142857146,0,0,1,0
0.4,44.0,12.0,2000,47.0,0,0,1,0
0.4,39.0,12.0,2000,45.714285714285715,0,0,1,0
0.4,36.0,12.0,2000,44.285714285714285,0,0,1,0
0.3,22.0,9.0,2000,40.57142857142857,0,0,1,0
0.4,24.0,12.0,2000,37.0,0,0,1,0
0.4,26.0,12.0,2000,34.0,0,0,1,0
0.4,27.0,11.0,2000,31.142857142857142,0,0,1,0
0.4,28.0,13.0,2000,28.857142857142858,0,0,1,0
0.5,29.0,14.0,2000,27.428571428571427,0,0,1,0
0.5,32.0,17.0,2000,26.857142857142858,0,0,1,0
0.5,38.0,18.0,2000,29.142857142857142,0,0,1,0
0.5,34.0,17.0,2000,30.571428571428573,0,0,1,0
0.6,36.0,18.0,2000,32.0,0,0,1,0
0.7,34.0,18.0,2000,33.0,0,0,1,0
0.6,36.0,19.0,2000,34.142857142857146,0,0,1,0
0.6,33.0,18.0,2000,34.714285714285715,0,0,1,0
0.6,36.0,18.0,2000,35.285714285714285,0,0,1,0
